STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-02-12 14:30:00,,1014.00,23,10,44,360,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-12 15:00:00,,1015.00,23,11,47,20,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-12 15:30:00,,1015.00,23,11,47,100,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-12 16:00:00,,1015.00,23,10,44,0,0,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-12 16:30:00,,1015.00,21,12,56,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-12 17:00:00,,1015.00,20,12,60,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-12 17:30:00,,1015.00,20,12,60,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 18:00:00,,1015.00,20,13,64,340,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 18:30:00,,1015.00,20,12,60,350,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 19:00:00,,1015.00,20,12,60,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 19:30:00,,1015.00,20,12,60,340,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 20:00:00,,1014.00,19,13,68,40,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 20:30:00,,1014.00,19,13,68,360,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 21:00:00,,1014.00,17,13,77,360,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 21:30:00,,1014.00,17,13,77,10,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 22:00:00,,1013.00,17,13,77,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 22:30:00,,1013.00,17,13,77,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-12 23:00:00,,1014.00,17,13,77,10,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-12 23:30:00,,1014.00,16,13,82,10,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-13 00:00:00,,1014.00,17,13,77,0,0,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 00:30:00,,1015.00,17,13,77,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-02-13 01:00:00,,1015.00,17,13,77,0,0,,,2.0,,,,,,,,FG,,,,,
VECC,2026-02-13 01:30:00,,1016.00,18,13,73,280,2,,,2.0,,,,,,,,FG,,,,,
VECC,2026-02-13 02:00:00,,1016.00,19,12,64,260,2,,,2.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 02:30:00,,1017.00,20,13,64,280,2,,,2.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 03:00:00,,1017.00,21,12,56,290,3,,,2.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 03:30:00,,1017.00,22,12,53,290,3,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-02-13 04:00:00,,1017.00,23,12,50,310,3,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-02-13 04:30:00,,1017.00,24,12,47,310,3,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-02-13 05:00:00,,1017.00,25,12,44,300,4,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-02-13 05:30:00,,1016.00,26,12,42,340,5,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-13 06:00:00,,1015.00,26,12,42,340,5,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 06:30:00,,1015.00,27,11,37,350,6,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 07:00:00,,1014.00,27,10,34,350,5,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 07:30:00,,1014.00,28,11,35,350,5,,,4.5,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-13 08:00:00,,1013.00,28,10,32,330,4,,,4.5,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-13 08:30:00,,1013.00,28,10,32,330,5,,,4.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 09:00:00,,1013.00,28,9,30,340,5,,,4.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 09:30:00,,1013.00,27,9,32,330,5,,,4.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 10:00:00,,1013.00,27,8,30,310,5,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 10:30:00,,1012.00,27,9,32,310,6,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 11:00:00,,1012.00,27,9,32,310,5,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 11:30:00,,1012.00,26,9,34,310,5,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 12:00:00,,1012.00,25,9,36,310,3,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-13 12:30:00,,1013.00,25,9,36,310,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 13:00:00,,1013.00,24,10,41,330,3,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 13:30:00,,1014.00,23,10,44,330,3,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 14:00:00,,1014.00,23,10,44,360,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 14:30:00,,1014.00,23,10,44,20,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 15:00:00,,1014.00,22,10,46,30,2,,,3.5,,,,,,,,HZ,,,,,
