STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-02-15 14:30:00,,1013.00,23,12,50,20,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-15 15:00:00,,1013.00,22,12,53,360,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-15 15:30:00,,1013.00,22,11,50,360,3,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-15 16:00:00,,1013.00,21,11,53,360,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-15 16:30:00,,1013.00,21,11,53,0,0,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-15 17:00:00,,1013.00,20,11,56,0,0,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-15 17:30:00,,1013.00,19,12,64,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 18:00:00,,1013.00,19,12,64,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 18:30:00,,1013.00,19,12,64,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 19:00:00,,1013.00,19,12,64,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 19:30:00,,1013.00,18,13,73,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 20:00:00,,1013.00,18,13,73,340,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 20:30:00,,1013.00,18,12,68,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 21:00:00,,1013.00,18,12,68,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 21:30:00,,1013.00,18,12,68,10,3,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-15 22:00:00,,1013.00,18,14,77,340,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-15 22:30:00,,1013.00,18,13,73,340,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-15 23:00:00,,1013.00,18,13,73,340,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-15 23:30:00,,1013.00,18,13,73,350,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-16 00:00:00,,1013.00,16,12,77,350,2,,,2.2,,,,,,,,FG,,,,,
VECC,2026-02-16 00:30:00,,1014.00,16,12,77,360,2,,,2.0,,,,,,,,FG,,,,,
VECC,2026-02-16 01:00:00,,1014.00,16,12,77,360,2,,,2.2,,,,,,,,FG,,,,,
VECC,2026-02-16 01:30:00,,1015.00,18,12,68,360,2,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-02-16 02:00:00,,1015.00,19,13,68,0,0,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-02-16 02:30:00,,1015.00,21,12,56,30,2,,,2.3,,,,,,,,HZ,,,,,
VECC,2026-02-16 03:00:00,,1016.00,22,13,57,20,2,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-02-16 03:30:00,,1016.00,23,13,53,50,3,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-02-16 04:00:00,,1016.00,25,13,47,20,3,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-16 04:30:00,,1016.00,25,12,44,30,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-16 05:00:00,,1016.00,26,13,45,360,3,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-16 05:30:00,,1015.00,26,13,45,350,3,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-16 06:00:00,,1015.00,27,12,39,350,4,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-16 06:30:00,,1014.00,27,11,37,320,2,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-16 07:00:00,,1014.00,27,10,34,300,4,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-02-16 07:30:00,,1013.00,28,10,32,300,5,,,4.5,,,,,,,,HZ,,,,,
VECC,2026-02-16 08:00:00,,1013.00,28,11,35,300,4,,,4.8,,,,,,,,HZ,,,,,
VECC,2026-02-16 08:30:00,,1012.00,28,11,35,330,5,,,5.0,,,,,,,,HZ,,,,,
VECC,2026-02-16 09:00:00,,1012.00,28,9,30,330,6,,,5.0,,,,,,,,HZ,,,,,
VECC,2026-02-16 09:30:00,,1011.00,28,10,32,310,5,,,5.0,,,,,,,,HZ,,,,,
VECC,2026-02-16 10:00:00,,1011.00,28,9,30,340,6,,,5.0,,,,,,,,HZ,,,,,
VECC,2026-02-16 10:30:00,,1011.00,27,8,30,320,5,,,4.5,,,,,,,,HZ,,,,,
