STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-02-13 14:30:00,,1014.00,23,10,44,20,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 15:00:00,,1014.00,22,10,46,30,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-13 15:30:00,,1014.00,22,10,46,20,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-13 16:00:00,,1014.00,21,11,53,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-13 16:30:00,,1015.00,20,11,56,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-13 17:00:00,,1014.00,20,11,56,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-13 17:30:00,,1014.00,20,12,60,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 18:00:00,,1014.00,20,12,60,290,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 18:30:00,,1014.00,20,12,60,330,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 19:00:00,,1014.00,20,12,60,300,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 19:30:00,,1014.00,19,12,64,20,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 20:00:00,,1013.00,18,12,68,360,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-13 20:30:00,,1013.00,18,12,68,330,4,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-13 21:00:00,,1013.00,18,12,68,350,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-13 21:30:00,,1013.00,18,12,68,310,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-13 22:00:00,,1013.00,17,12,72,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-13 22:30:00,,1012.00,17,12,72,0,0,,,2.6,,,,,,,,HZ,,,,,
