STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-01-22 17:30:00,,1017.00,18,11,64,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-22 18:00:00,,1017.00,17,11,68,10,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-22 18:30:00,,1017.00,17,11,68,10,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-22 19:00:00,,1017.00,17,11,68,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-22 19:30:00,,1017.00,16,11,72,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-22 20:00:00,,1016.00,17,12,72,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-22 20:30:00,,1016.00,16,12,77,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-22 21:00:00,,1016.00,16,12,77,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-22 21:30:00,,1016.00,15,12,82,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-22 22:00:00,,1016.00,15,12,82,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-22 22:30:00,,1016.00,15,12,82,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-22 23:00:00,,1016.00,15,12,82,0,0,,,2.4,,,,,,,,FG,,,,,
VECC,2026-01-22 23:30:00,,1017.00,15,12,82,340,2,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-23 00:00:00,,1017.00,15,12,82,0,0,,,2.0,,,,,,,,FG,,,,,
VECC,2026-01-23 00:30:00,,1018.00,14,12,88,0,0,,,1.8,,,,,,,,FG,,,,,
VECC,2026-01-23 01:00:00,,1018.00,15,12,82,0,0,,,1.4,,,,,,,,FG,,,,,
VECC,2026-01-23 01:30:00,,1018.00,15,12,82,0,0,,,1.2,,,,,,,,FG,,,,,
VECC,2026-01-23 02:00:00,,1019.00,16,13,82,0,0,,,1.1,,,,,,,,FG,,,,,
