STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-01-20 17:30:00,,1014.00,18,13,73,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-20 18:00:00,,1014.00,17,14,82,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-20 18:30:00,,1014.00,17,14,82,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-20 19:00:00,,1014.00,17,14,82,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-20 19:30:00,,1014.00,17,14,82,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-20 20:00:00,,1014.00,16,14,88,0,0,,,2.0,,,,,,,,FG,,,,,
VECC,2026-01-20 20:30:00,,1014.00,16,14,88,0,0,,,2.0,,,,,,,,FG,,,,,
VECC,2026-01-20 21:00:00,,1013.00,16,14,88,0,0,,,1.8,,,,,,,,FG,,,,,
VECC,2026-01-20 21:30:00,,1013.00,16,14,88,0,0,,,1.8,,,,,,,,FG,,,,,
VECC,2026-01-20 22:00:00,,1013.00,16,14,88,0,0,,,1.7,,,,,,,,FG,,,,,
VECC,2026-01-20 22:30:00,,1014.00,16,14,88,340,2,,,1.7,,,,,,,,FG,,,,,
VECC,2026-01-20 23:00:00,,1014.00,16,14,88,0,0,,,1.6,,,,,,,,FG,,,,,
VECC,2026-01-20 23:30:00,,1014.00,16,14,88,0,0,,,1.5,,,,,,,,FG,,,,,
VECC,2026-01-21 00:00:00,,1014.00,15,14,94,360,4,,,1.4,,,,,,,,FG,,,,,
VECC,2026-01-21 00:30:00,,1015.00,15,13,88,360,3,,,1.4,,,,,,,,FG,,,,,
VECC,2026-01-21 01:00:00,,1015.00,15,13,88,360,3,,,1.2,,,,,,,,FG,,,,,
VECC,2026-01-21 01:30:00,,1016.00,15,13,88,350,2,,,1.0,,,,,,,,FG,,,,,
VECC,2026-01-21 02:00:00,,1016.00,16,13,82,360,2,,,1.0,,,,,,,,FG,,,,,
VECC,2026-01-21 02:30:00,,1017.00,17,14,82,350,3,,,1.2,,,,,,,,FG,,,,,
VECC,2026-01-21 03:00:00,,1017.00,19,14,73,350,3,,,1.4,,,,,,,,FG,,,,,
VECC,2026-01-21 03:30:00,,1018.00,20,14,68,360,3,,,1.6,,,,,,,,FG,,,,,
VECC,2026-01-21 04:00:00,,1018.00,21,13,60,30,3,,,1.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 04:30:00,,1018.00,23,13,53,40,3,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-01-21 05:00:00,,1017.00,24,13,50,50,2,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-01-21 05:30:00,,1017.00,25,13,47,50,3,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-21 06:00:00,,1016.00,25,13,47,360,3,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-21 06:30:00,,1016.00,26,13,45,340,4,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-21 07:00:00,,1015.00,26,13,45,340,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 07:30:00,,1015.00,27,12,39,300,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 08:00:00,,1014.00,27,12,39,320,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-21 08:30:00,,1014.00,27,12,39,330,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-21 09:00:00,,1014.00,27,11,37,320,3,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-21 09:30:00,,1013.00,27,11,37,320,3,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-21 10:00:00,,1013.00,27,12,39,310,3,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-21 10:30:00,,1013.00,27,12,39,350,3,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-21 11:00:00,,1013.00,26,13,45,10,3,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-21 11:30:00,,1014.00,25,13,47,10,2,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-21 12:00:00,,1014.00,24,13,50,350,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 12:30:00,,1014.00,23,13,53,350,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 13:00:00,,1014.00,22,13,57,10,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 13:30:00,,1015.00,22,14,60,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 14:00:00,,1015.00,21,14,64,350,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-21 14:30:00,,1015.00,21,14,64,50,2,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-01-21 15:00:00,,1016.00,21,14,64,0,0,,,2.4,,,,,,,,HZ,,,,,
