STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-01-24 17:30:00,,1016.00,17,12,72,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-24 18:00:00,,1016.00,17,12,72,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-24 18:30:00,,1016.00,17,12,72,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-24 19:00:00,,1016.00,17,12,72,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-24 19:30:00,,1016.00,17,11,68,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-24 20:00:00,,1016.00,17,11,68,0,0,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-01-24 20:30:00,,1015.00,17,12,72,0,0,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-01-24 21:00:00,,1015.00,17,13,77,270,2,,,2.4,,,,,,,,FG,,,,,
VECC,2026-01-24 21:30:00,,1015.00,17,13,77,280,2,,,2.4,,,,,,,,FG,,,,,
VECC,2026-01-24 22:00:00,,1015.00,16,13,82,270,3,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-24 22:30:00,,1015.00,16,13,82,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-24 23:00:00,,1015.00,15,13,88,0,0,,,2.0,,,,,,,,FG,,,,,
VECC,2026-01-24 23:30:00,,1015.00,15,13,88,0,0,,,2.0,,,,,,,,FG,,,,,
VECC,2026-01-25 00:00:00,,1016.00,14,13,94,0,0,,,1.8,,,,,,,,FG,,,,,
VECC,2026-01-25 00:30:00,,1016.00,14,13,94,0,0,,,1.6,,,,,,,,FG,,,,,
VECC,2026-01-25 01:00:00,,1016.00,15,14,94,0,0,,,1.3,,,,,,,,FG,,,,,
VECC,2026-01-25 01:30:00,,1016.00,15,13,88,0,0,,,1.1,,,,,,,,FG,,,,,
VECC,2026-01-25 02:00:00,,1016.00,16,14,88,0,0,,,1.1,,,,,,,,FG,,,,,
VECC,2026-01-25 02:30:00,,1017.00,19,14,73,0,0,,,1.2,,,,,,,,FG,,,,,
VECC,2026-01-25 03:00:00,,1017.00,19,14,73,0,0,,,1.3,,,,,,,,FG,,,,,
VECC,2026-01-25 03:30:00,,1018.00,21,14,64,0,0,,,1.3,,,,,,,,FU,,,,,
VECC,2026-01-25 04:00:00,,1018.00,23,14,57,0,0,,,1.4,,,,,,,,FU,,,,,
VECC,2026-01-25 04:30:00,,1018.00,24,12,47,0,0,,,2.0,,,,,,,,HZ,,,,,
VECC,2026-01-25 05:00:00,,1018.00,25,11,41,290,2,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-25 05:30:00,,1017.00,26,11,39,270,2,,,2.4,,,,,,,,HZ,,,,,
