STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-01-23 17:30:00,,1018.00,17,11,68,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 18:00:00,,1018.00,17,11,68,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 18:30:00,,1018.00,17,11,68,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 19:00:00,,1018.00,17,11,68,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 19:30:00,,1018.00,17,11,68,0,0,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 20:00:00,,1017.00,17,12,72,360,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 20:30:00,,1017.00,17,12,72,10,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-23 21:00:00,,1017.00,16,12,77,360,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-23 21:30:00,,1017.00,16,11,72,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-23 22:00:00,,1017.00,15,11,77,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-23 22:30:00,,1017.00,15,12,82,0,0,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-01-23 23:00:00,,1017.00,15,12,82,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-23 23:30:00,,1018.00,15,11,77,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-24 00:00:00,,1018.00,15,11,77,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-01-24 00:30:00,,1018.00,15,12,82,290,2,,,1.8,,,,,,,,FG,,,,,
VECC,2026-01-24 01:00:00,,1018.00,16,12,77,290,3,,,1.3,,,,,,,,FG,,,,,
VECC,2026-01-24 01:30:00,,1019.00,16,12,77,0,0,,,1.2,,,,,,,,FG,,,,,
